"Date","Price","Open","High","Low","Vol.","Change %"
"09/18/2016","7,811.00","7,567.00","7,894.00","7,198.00","0.02K","-6.90%"
"09/11/2016","8,390.00","8,300.00","8,480.00","8,300.00","4.72K","-0.21%"
"09/04/2016","8,408.00","8,399.00","8,412.00","8,316.00","9.14K","0.15%"
"08/28/2016","8,395.00","8,310.00","8,570.00","8,301.00","76.40K","1.00%"
"08/21/2016","8,312.00","8,298.00","8,342.00","8,250.00","94.03K","0.35%"
"08/14/2016","8,283.00","8,230.00","8,349.00","8,200.00","349.08K","-0.81%"
"08/07/2016","8,351.00","8,351.00","8,351.00","8,351.00","","0.00%"
"07/31/2016","8,351.00","8,351.00","8,351.00","8,351.00","","0.00%"
"07/24/2016","8,351.00","8,550.00","8,550.00","8,023.00","0.01K","-0.06%"
"07/17/2016","8,356.00","8,100.00","8,522.00","8,037.00","0.08K","1.08%"
"07/10/2016","8,267.00","8,144.00","8,390.00","8,144.00","0.01K","-3.87%"
"07/03/2016","8,600.00","8,820.00","8,820.00","7,830.00","0.01K","3.25%"
"06/26/2016","8,329.00","7,800.00","8,581.00","7,800.00","0.03K","12.10%"
"06/19/2016","7,430.00","7,371.00","7,690.00","7,238.00","0.02K","3.76%"
"06/12/2016","7,161.00","7,392.00","7,400.00","6,949.00","0.01K","2.68%"
"06/05/2016","6,974.00","6,974.00","6,974.00","6,974.00","","0.00%"
"05/29/2016","6,974.00","6,539.00","7,122.00","6,500.00","0.03K","4.65%"
"05/22/2016","6,664.00","6,568.00","6,982.00","6,461.00","0.47K","-0.74%"
"05/15/2016","6,714.00","6,750.00","6,938.00","6,556.00","4.14K","-0.16%"
"05/08/2016","6,725.00","6,650.00","6,980.00","6,500.00","2.34K","1.26%"
"05/01/2016","6,641.00","6,820.00","6,840.00","6,600.00","2.68K","-2.64%"
"04/24/2016","6,821.00","6,850.00","7,100.00","6,755.00","44.45K","0.75%"
"04/17/2016","6,770.00","7,000.00","7,148.00","6,655.00","403.38K","-7.75%"
"04/10/2016","7,339.00","7,339.00","7,339.00","7,339.00","","0.00%"
"04/03/2016","7,339.00","7,339.00","7,339.00","7,339.00","","0.00%"
"03/27/2016","7,339.00","7,650.00","7,995.00","7,098.00","0.05K","-4.07%"
"03/20/2016","7,650.00","7,474.00","7,847.00","7,322.00","0.03K","0.28%"
